id,lottery_date,times,num_set,one_unit,one_amount,two_unit,two_amount,three_unit,three_amount,four_unit,four_amount,five_unit,five_amount,sales,carryover,created_at,updated_at
972,2015-11-30,1024,"02,04,05,20,37,43,32",0,0.0,6,18321300.0,160,824400.0,8734,13300.0,158788,1000.0,1420305600.0,122143275,2016-04-30 23:08:59.000000,2016-04-30 23:08:59.000000
973,2015-11-26,1023,"09,17,24,25,33,40,43",2,58344500.0,3,35006400.0,308,409100.0,12105,9100.0,172886,1000.0,1403969800.0,0,2016-04-30 23:08:59.000000,2016-04-30 23:08:59.000000
974,2015-11-23,1022,"03,15,19,30,34,37,12",2,128119200.0,6,19595300.0,221,638400.0,10288,12000.0,174458,1000.0,1529357400.0,0,2016-04-30 23:08:59.000000,2016-04-30 23:08:59.000000
975,2015-11-19,1021,"03,30,32,33,34,39,28",0,0.0,1,113040300.0,177,766300.0,8144,14600.0,146052,1000.0,1422225600.0,125601483,2016-04-30 23:08:59.000000,2016-04-30 23:08:59.000000
976,2015-11-16,1020,"02,25,27,28,35,42,06",3,133486700.0,6,22404500.0,261,618000.0,12672,11200.0,216588,1000.0,1786647600.0,0,2016-04-30 23:09:00.000000,2016-04-30 23:09:00.000000
977,2015-11-12,1019,"08,14,15,22,25,40,19",0,0.0,4,30280400.0,298,487700.0,13339,9600.0,213949,1000.0,1651583200.0,251095228,2016-04-30 23:09:00.000000,2016-04-30 23:09:00.000000
978,2015-11-09,1018,"03,22,25,28,32,39,21",0,0.0,4,26215400.0,203,619800.0,11545,9600.0,187395,1000.0,1434682000.0,116514121,2016-04-30 23:09:00.000000,2016-04-30 23:09:00.000000
979,2015-11-05,1017,"01,04,24,30,39,40,05",3,103756100.0,8,17004700.0,215,759200.0,10104,14200.0,181801,1000.0,1724987000.0,0,2016-04-30 23:09:00.000000,2016-04-30 23:09:00.000000
980,2015-11-02,1016,"01,14,31,32,39,42,34",0,0.0,1,127248600.0,134,1139500.0,7989,16800.0,147595,1000.0,1563623000.0,160113420,2016-04-30 23:09:00.000000,2016-04-30 23:09:00.000000
1043,2016-07-11,1087,"10,13,26,27,30,36,06",1,245458400.0,6,19622400.0,214,660100.0,12149,10200.0,199421,1000.0,1586408200.0,0,2016-07-11 10:55:02.000000,2016-07-11 10:55:02.000000
1103,2016-10-17,1115,"03,10,12,26,38,42,04",4,56683600.0,11,9837800.0,417,311400.0,16046,7100.0,232595,1000.0,1567704400.0,0,2016-10-17 10:55:02.000000,2016-10-17 10:55:02.000000
1115,2016-12-01,1128,"03,15,21,29,30,35,39",0,0.0,8,14655600.0,318,442400.0,13056,9500.0,196830,1000.0,1575899000.0,244865806,2016-12-01 10:55:03.000000,2016-12-01 10:55:03.000000
